0	(5,0,0),(1,5,3)
1	(5,0,0),(1,5,3)
2	(5,0,0),(1,5,3)
3	(5,0,0),(1,5,3)
4	(5,0,0),(1,5,3)
5	(1,0,0),(4,5,3)
6	(1,0,0),(4,5,2)
7	(1,0,0),(4,5,2)
8	(1,0,0),(4,5,2)
9	(1,0,0),(4,5,2)
10	(1,0,0),(4,5,2)
11	(1,0,0),(4,5,2)
12	(1,0,0),(4,5,1)
13	(1,0,0),(4,5,1)
14	(1,0,0),(4,5,1)
15	(1,0,0),(4,5,1)
16	(1,0,0),(4,5,1)
17	(1,0,0),(4,5,1)
18	(1,5,0),(1,3,0)
19	(1,4,0),(2,4,0)
20	(1,4,0),(3,3,0)
21	(1,4,0),(1,3,0)
22	(1,4,0),(4,3,0)
23	(1,4,0),(1,3,0)
24	(1,4,0),(1,3,0)
25	(1,4,0),(1,3,0)
26	(1,4,0),(1,3,0)
27	(1,4,0),(1,0,0)
28	(5,4,0),(1,5,0)
29	(5,4,0),(1,5,0)
30	(5,4,0),(1,5,0)
31	(5,4,0),(1,5,0)
32	(5,4,0),(1,5,0)
33	(5,5,1),(1,0,0)
34	(5,5,1),(1,0,0)
35	(5,5,2),(1,0,0)
